Preferred Asset Name,Preferred Domain,Site,Application,Function,Classification,System Type,VM ESX Host
054-FW-INT05b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a07cmp04.epiqcorp.com
054-FW-INT06a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b07cmp03.epiqcorp.com
054-FW-INT06b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b07cmp03.epiqcorp.com
054-FW-INT07a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b07cmp03.epiqcorp.com
054-FW-INT07b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp08.epiqcorp.com
054-FW-INT08a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp03.epiqcorp.com
054-FW-INT08b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp00.epiqcorp.com
054-FW-INT09a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b07cmp03.epiqcorp.com
054-FW-INT09b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b07cmp01.epiqcorp.com
054-FW-INT10a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a10cmp05.epiqcorp.com
054-FW-INT10b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a10cmp02.epiqcorp.com
054-FW-INT11a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a08cmp05.epiqcorp.com
054-FW-INT11b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a08cmp04.epiqcorp.com
054-FW-INT12a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a07cmp03.epiqcorp.com
054-FW-INT12b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a07cmp00.epiqcorp.com
054-FW-INT13a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp00.epiqcorp.com
054-FW-INT13b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp08.epiqcorp.com
054-FW-INT14a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp00.epiqcorp.com
054-FW-INT14b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542b08cmp00.epiqcorp.com
054-FW-INT16a,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a07cmp00.epiqcorp.com
054-FW-INT16b,,54,Network Management,Firewall Appliance,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-infra-auto-10.76.46.20,,54,Network Management,UNKNOWN,PROD,Virtual,p0542b08cmp08.epiqcorp.com
054-infra-auto-10.76.46.21,,54,Network Management,UNKNOWN,PROD,Virtual,p0542b08cmp06.epiqcorp.com
054-infra-auto-10.76.46.22,,54,Network Management,UNKNOWN,PROD,Virtual,p0542b07cmp01.epiqcorp.com
054-infra-auto-DHCP-01,,54,Network Management,Dhcp,PROD,Virtual,p0542b08cmp08.epiqcorp.com
054-LB-HAP03-1 - 10.76.129.60,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp06.epiqcorp.com
054-LB-HAP03-2 - 10.76.129.61,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp07.epiqcorp.com
054-LB-HAP-04a-10.76.130.132,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a09cmp05.epiqcorp.com
054-LB-HAP-04b-10.76.130.133,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-04c-10.76.150.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a09cmp00.epiqcorp.com
054-LB-HAP-04d-10.76.150.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-05-10.76.130.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp05.epiqcorp.com
054-LB-HAP-05-10.76.130.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-06-10.76.130.7,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a09cmp05.epiqcorp.com
054-LB-HAP-06-10.76.130.8,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-08-10.35.16.130,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-08-10.35.16.131,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a09cmp01.epiqcorp.com
054-LB-HAP-09-10.77.33.252,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-09-10.77.33.253,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-10-10.11.100.48,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp05.epiqcorp.com
054-LB-HAP-10-10.11.100.49,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a09cmp01.epiqcorp.com
054-LB-HAP11-10.11.191.173,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp03.epiqcorp.com
054-LB-HAP11-10.11.191.174,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp03.epiqcorp.com
054-LB-HAP-12-10.76.132.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp02.epiqcorp.com
054-LB-HAP-12-10.76.132.6,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp07.epiqcorp.com
054-LB-HAP-13-10.76.141.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp07.epiqcorp.com
054-LB-HAP-13-10.76.141.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp00.epiqcorp.com
054-LB-HAP-14-10.76.138.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp01.epiqcorp.com
054-LB-HAP-14-10.76.138.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a10cmp05.epiqcorp.com
054-LB-HAP15a - 10.35.232.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp06.epiqcorp.com
054-LB-HAP15b - 10.35.232.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp06.epiqcorp.com
054-LB-HAP16-1,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp06.epiqcorp.com
054-LB-HAP16-2,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp01.epiqcorp.com
054-LB-HAP17-1,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp07.epiqcorp.com
054-LB-HAP17-2,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp06.epiqcorp.com
054-LB-HAP18a - 10.77.90.196,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a08cmp00.epiqcorp.com
054-LB-HAP18b - 10.77.90.197,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a07cmp00.epiqcorp.com
054-LB-HAP19a - 10.77.15.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a07cmp00.epiqcorp.com
054-LB-HAP19b - 10.77.15.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a07cmp00.epiqcorp.com
054-LB-HAP20a - 10.77.2.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a08cmp01.epiqcorp.com
054-LB-HAP20b - 10.77.2.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a08cmp00.epiqcorp.com
054-LB-HAP21a - 10.76.146.4,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp00.epiqcorp.com
054-LB-HAP21b - 10.76.146.5,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b07cmp07.epiqcorp.com
054-LB-HAP22a - 10.76.146.6,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp03.epiqcorp.com
054-LB-HAP22b - 10.76.146.7,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542b08cmp08.epiqcorp.com
054-LB-HAP-CP,,54,Network Management,Networking HA Load Balancer,PROD,Virtual,p0542a07cmp03.epiqcorp.com
054-NET-BAK01,,54,Network Management,UNKNOWN,PROD,Virtual,p0542a08cmp04.epiqcorp.com
054-PA-EXP02,,54,Network Management,UNKNOWN,PROD,Virtual,p0542a10cmp00.epiqcorp.com
061-FW-DQS01a,,72,Network Management,Firewall Appliance,PROD,Virtual,d061atl10cmp03.epiqcorp.com
061-FW-DQS01b,,72,Network Management,Firewall Appliance,PROD,Virtual,d061atl10cmp03.epiqcorp.com
061-FW-INT01a,,72,Network Management,Firewall Appliance,PROD,Virtual,d061atl10cmp03.epiqcorp.com
061-FW-INT01b,,72,Network Management,Firewall Appliance,PROD,Virtual,d061atl10cmp01.epiqcorp.com
061-FW-LAB01a,,72,Network Management,Firewall Appliance,PROD,Virtual,d061atl10cmp03.epiqcorp.com
061-FW-LAB01b,,72,Network Management,Firewall Appliance,PROD,Virtual,d061atl10cmp03.epiqcorp.com
061-LB-HAP01-10.44.2.4,,72,Network Management,Networking HA Load Balancer,PROD,Virtual,d061atl10cmp03.epiqcorp.com
061-LB-HAP01-10.44.2.5,,72,Network Management,Networking HA Load Balancer,PROD,Virtual,d061atl10cmp03.epiqcorp.com
062-LB-HAP01-10.131.191.233,,62,Network Management,Networking HA Load Balancer,PROD,Virtual,p062esxhc0104.epiqcorp.com
062-LB-HAP01-10.131.191.234,,62,Network Management,Networking HA Load Balancer,PROD,Virtual,p062esxhc0105.epiqcorp.com
063-FW-INT03a,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT03b,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT04a,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT04b,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT06a,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT06b,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT07a,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-FW-INT07b,,63,Network Management,Firewall Appliance,PROD,Virtual,p063ay49cmp01.epiqcorp.com
063-LB-HAP03-1,,63,Network Management,Networking HA Load Balancer,PROD,Virtual,p063az49cmp02.epiqcorp.com
063-LB-HAP03-2,,63,Network Management,Networking HA Load Balancer,PROD,Virtual,p063az49cmp02.epiqcorp.com
063-LB-HAP07-1,,63,Network Management,Networking HA Load Balancer,PROD,Virtual,p063esxhc0101.epiqcorp.com
063-LB-HAP07-2,,63,Network Management,Networking HA Load Balancer,PROD,Virtual,p063esxhc0104.epiqcorp.com
064-FW-INT04a,,64,Network Management,Firewall Appliance,PROD,Virtual,p06406y2sql06.epiqcorp.com
064-FW-INT04b,,64,Network Management,Firewall Appliance,PROD,Virtual,p06406y2sql06.epiqcorp.com
064-LB-HAP01-10.68.191.197,,64,Network Management,Networking HA Load Balancer,PROD,Virtual,p064esxlnx0102.epiqcorp.com
064-LB-HAP01-10.68.191.198,,64,Network Management,Networking HA Load Balancer,PROD,Virtual,p064esxlnx0102.epiqcorp.com
064-LB-HAP-01a,,64,Network Management,Networking HA Load Balancer,PROD,Virtual,p064esxcc0101.epiqcorp.com
064-LB-HAP-01b,,64,Network Management,Networking HA Load Balancer,PROD,Virtual,p064esxcc0101.epiqcorp.com
072-sw-cor01,net.epiqcorp.com,77,Network Management,UNKNOWN,PROD,Physical,
072-sw-cor02,net.epiqcorp.com,72,Network Management,UNKNOWN,PROD,Physical,
077-FW-INT03,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-FW-INT04,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h158cmp05.epiqcorp.com
077-FW-INT04a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-FW-INT04b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h158cmp05.epiqcorp.com
077-FW-INT05a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp00.epiqcorp.com
077-FW-INT05b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT06a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp02.epiqcorp.com
077-FW-INT06b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT07a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-FW-INT07b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h158cmp05.epiqcorp.com
077-FW-INT08a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-FW-INT08b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h158cmp05.epiqcorp.com
077-FW-INT09a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp00.epiqcorp.com
077-FW-INT09b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT10a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp01.epiqcorp.com
077-FW-INT10b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT11a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp00.epiqcorp.com
077-FW-INT11b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT12a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-FW-INT12b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT13a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-FW-INT13b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT14a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-FW-INT14b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp03.epiqcorp.com
077-FW-INT15a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp01.epiqcorp.com
077-FW-INT15b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-FW-INT16a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp03.epiqcorp.com
077-FW-INT16b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT18a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-FW-INT18b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp01.epiqcorp.com
077-FW-INT19a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h157cmp03.epiqcorp.com
077-FW-INT19b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-FW-INT20a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp04.epiqcorp.com
077-FW-INT20b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-FW-INT21a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp03.epiqcorp.com
077-FW-INT21b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-FW-INT22a,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp02.epiqcorp.com
077-FW-INT22b,,77,Network Management,Firewall Appliance,PROD,Virtual,p077h156cmp00.epiqcorp.com
077-LB-HAP01-10.91.1.252,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h157cmp03.epiqcorp.com
077-LB-HAP01-10.91.1.253,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h156cmp04.epiqcorp.com
077-LB-HAP02-1,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h158cmp04.epiqcorp.com
077-LB-HAP02-2,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-LB-HAP04-1,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h156cmp03.epiqcorp.com
077-LB-HAP04-2,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h157cmp04.epiqcorp.com
077-LB-HAP-05-1,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h159cmp00.epiqcorp.com
077-LB-HAP-05-2,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h158cmp04.epiqcorp.com
077-LB-HAP-06-1,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-LB-HAP-06-2,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h157cmp02.epiqcorp.com
077-LB-HAP-07-1,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h156cmp01.epiqcorp.com
077-LB-HAP-07-2,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h157cmp02.epiqcorp.com
077-LB-HAP-09-1,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h156cmp05.epiqcorp.com
077-LB-HAP-12a-10.89.3.4,,77,Network Management,Networking HA Load Balancer,PROD,Virtual,p077h156cmp02.epiqcorp.com
082-FW-INT02a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp15.epiqcorp.com
082-FW-INT02b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp14.epiqcorp.com
082-FW-INT03a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp04.epiqcorp.com
082-FW-INT03b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp14.epiqcorp.com
082-FW-INT04a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp04.epiqcorp.com
082-FW-INT04b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp03.epiqcorp.com
082-FW-INT05a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp15.epiqcorp.com
082-FW-INT05b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp04.epiqcorp.com
082-FW-INT06a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp02.epiqcorp.com
082-FW-INT06b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp04.epiqcorp.com
082-FW-INT07a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp15.epiqcorp.com
082-FW-INT07b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp03.epiqcorp.com
082-FW-INT08a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp08.epiqcorp.com
082-FW-INT08b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp09.epiqcorp.com
082-FW-INT09a,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp01.epiqcorp.com
082-FW-INT09b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp01.epiqcorp.com
082-FW-WAN01b,,82,Network Management,Firewall Appliance,PROD,Virtual,p082n13cmp10.epiqcorp.com
082-LB-HAP03-10.106.129.4,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp06.epiqcorp.com
082-LB-HAP03-10.106.129.5,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp06.epiqcorp.com
082-LB-HAP04-10.106.138.4,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp13.epiqcorp.com
082-LB-HAP04-10.106.138.5,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp01.epiqcorp.com
082-LB-HAP05-10.106.132.4,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp03.epiqcorp.com
082-LB-HAP05-10.106.132.5,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp01.epiqcorp.com
082-LB-HAP06-10.106.139.4,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp04.epiqcorp.com
082-LB-HAP06-10.106.139.5,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp08.epiqcorp.com
082-LB-HAP07-10.106.131.4,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp02.epiqcorp.com
082-LB-HAP07-10.106.131.5,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp01.epiqcorp.com
082-LB-HAP08a-10.107.0.132,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp11.epiqcorp.com
082-LB-HAP08b-10.107.0.133,,82,Network Management,Networking HA Load Balancer,PROD,Virtual,p082n13cmp11.epiqcorp.com
10.67.169.235,client,77,Nuix,Application Server,PROD,Physical,
access-support-vm,,Cloud,UNKNOWN,UNKNOWN,PROD,Virtual,
ADC-C-TMF-01,wordwave,76,Liberty,(TMF) Transcription Audio Portal,PROD,Virtual,aus-dc1-bl02.wordwave.com.au
ADC-D-WEB-62,,76,Bigfix,Web,PROD,Virtual,aus-dc1-bl01.wordwave.com.au
adtukflad01 - Do Not Delete,,77,Infrastructure / It Utility,UNKNOWN,UNKNOWN,Virtual,p077esxlnx0101.epiqcorp.com
ADTUKFSQL600,adiclient,77,Leverage,SQL Server,PROD,Virtual,p077esxsup0104.epiqcorp.com
ADTUKFSQL700,adiclient,77,Leverage,SQL Server,PROD,Virtual,p077esxsup0103.epiqcorp.com
ADTUKPRLP11,client,77,Relativity,Agent Server,PROD,Virtual,p077h158cmp04.epiqcorp.com
ADTUKPRLP12,client,77,Relativity,Agent Server,PROD,Virtual,p077h156cmp05.epiqcorp.com
APC-PowerChute-VH04,,659,Infrastructure / It Utility,Data Center Power Management,PROD,Virtual,grgncvh04.settlementplan.local
ARCAD03,rltvarc,54,Relativity,Domain Controller,Prod,Virtual,p054esxhc0107.epiqcorp.com
ARCAD04,rltvarc,54,Relativity,Domain Controller,Prod,Virtual,p054esxhc0108.epiqcorp.com
ARCAD05,rltvarc,54,Relativity,Domain Controller,Prod,Virtual,p054esxhc0105.epiqcorp.com
ARCAD06,rltvarc,54,Relativity,Domain Controller,PROD,Virtual,p0542a10cmp03.epiqcorp.com
ARCAGENT01,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp03.epiqcorp.com
ARCAGENT02,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp03.epiqcorp.com
ARCAGENT03,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp05.epiqcorp.com
ARCAGENT04,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp05.epiqcorp.com
ARCAGENT05,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp03.epiqcorp.com
ARCAGENT06,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp01.epiqcorp.com
ARCAGENT07,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp03.epiqcorp.com
ARCAGENT08,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp04.epiqcorp.com
ARCAGENT09,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp00.epiqcorp.com
ARCAGENT10,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp04.epiqcorp.com
ARCAGENT11,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp03.epiqcorp.com
ARCAGENT12,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp01.epiqcorp.com
ARCAGENT13,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp05.epiqcorp.com
ARCAGENT14,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a10cmp00.epiqcorp.com
ARCAGENT15,rltvarc,54,Relativity,Agent Server,PROD,Virtual,p0542a09cmp01.epiqcorp.com
ARCANLTS01,rltvarc,54,Relativity,Content Analytics,PROD,Virtual,p054esxhc0110.epiqcorp.com
ARCANLTS02,rltvarc,54,Relativity,Content Analytics,PROD,Virtual,p0542a09cmp03.epiqcorp.com
ARCANLTS03,rltvarc,54,Relativity,Content Analytics,PROD,Virtual,p054esxhc0121.epiqcorp.com
ARCANLTS04,rltvarc,54,Relativity,Content Analytics,PROD,Virtual,p054esxhc0101.epiqcorp.com
ARCAPP01,rltvarc,54,Relativity,Web Server,PROD,Virtual,p0542a10cmp02.epiqcorp.com
ARCAPP02,rltvarc,54,Relativity,Web Server,PROD,Virtual,p0542a09cmp01.epiqcorp.com
ARCAPP04,rltvarc,54,Relativity,Web Server,PROD,Virtual,p0542a09cmp03.epiqcorp.com
